title	Problem:	Implication:	Workaround:	Status:
  Programming Digital Thermal Sensor (DTS) Threshold May Cause Unexpected Thermal Interrupts  	  Software can enable DTS thermal interrupts by programming the thermal threshold and setting the respective thermal interrupt enable bit. When programming the DTS value, the previous DTS threshold may be crossed. This will generate an unexpected thermal interrupt.  	  Software may observe an unexpected thermal interrupt occur after reprogramming the thermal threshold.  	 In the ACPI/OS, implement a workaround by temporarily disabling the DTS threshold interrupt before updating the DTS threshold value. 	  No Fix. 
  Returning to Real Mode From SMM With EFLAGS.VM Set May Result in Unpredictable System Behavior  	  Returning back from SMM mode into real mode while EFLAGS.VM is set in SMRAM may result in unpredictable system behavior.  	  If SMM software changes the values of EFLAGS.VM in SMRAM, it may result in unpredictable system behavior. Intel has not observed this behavior in commercially available software.  	 SMM software should not change the value of EFLAGS.VM in SMRAM. 	  No Fix. 
  Fault on ENTER Instruction May Result in Unexpected Values on Stack Frame  	  The ENTER instruction is used to create a procedure stack frame. Due to this erratum, if execution of the ENTER instruction results in a fault, the dynamic storage area of the resultant stack frame may contain unexpected values (in other words, residual stack data as a result of processing the fault).  	  Data in the created stack frame may be altered following a fault on the ENTER instruction. Please refer to “Procedure Calls For Block-Structured Languages” in the Intel® 64 and IA-32 Architectures Software Developer's Manual Volume 1: Basic Architecture for information on the usage of the ENTER instructions. This erratum is not expected to occur in ring 3. Faults are usually processed in ring 0, and stack switch occurs when transferring to ring 0. Intel has not observed this erratum on any commercially available software.  	 None identified. 	  No Fix. 
  With TF (Trap Flag) Asserted, FP Instruction That Triggers Unmasked FP Exception May Take Single Step Trap Before Retirement of Instruction  	  If an FP instruction generates an unmasked exception with the EFLAGS.TF=1, it is possible for external events to occur, including a transition to a lower power state. When resuming from the lower power state, it may be possible to take the single step trap before the execution of the original FP instruction completes.  	  A single step trap will be taken when not expected.  	 None identified. 	  No Fix.  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 23  
  Enabled Debug Breakpoint or Single Step Trap May Be Taken After MOV SS/POP SS Instruction if Followed by Floating Point Exception Signaling Instruction  	  A MOV SS/POP SS instruction should inhibit all interrupts including debug breakpoints until after execution of the following instruction. This is intended to allow the sequential execution of MOV SS/POP SS and MOV [r/e]SP, [r/e]BP instructions without having an invalid stack during interrupt handling. However, an enabled debug breakpoint or single step trap may be taken after MOV SS/POP SS if this instruction is followed by an instruction that signals a floating point exception rather than a MOV [r/e]SP, [r/e]BP instruction. This results in a debug exception being signaled on an unexpected instruction boundary since the MOV SS/POP SS and the following instruction should be executed automatically.  	  This can result in incorrect signaling of a debug exception and possibly a mismatched Stack Segment and Stack Pointer. If MOV SS/POP SS is not followed by a MOV [r/e]SP, [r/e]BP, there may be a mismatched Stack Segment and Stack Pointer on any exception. Intel has not observed this erratum with any commercially available software or system.  	 As recommended in the Intel® 64 and IA-32 Architectures Software Developer's Manual, the use of MOV SS/POP SS in conjunction with MOV [r/e]SP, [r/e]BP will avoid the failure since the MOV [r/e]SP, [r/e]BP will not generate a floating point exception. Developers of debug tools should be aware of the potential incorrect debug event signaling created by this erratum. 	  No Fix. 
  Code Segment Limit/Canonical Faults on RSM May Be Serviced Before Higher Priority Interrupts/Exceptions and May Push Wrong Address Onto Stack  	  Normally, when the processor encounters a Segment Limit or Canonical Fault due to code execution, a #GP (General Protection Exception) fault is generated after all higher priority Interrupts and exceptions are serviced. Due to this erratum, if RSM (Resume from System Management Mode) returns to the execution flow that results in a Code Segment Limit or Canonical Fault, the #GP fault may be serviced before a higher priority interrupt or exception (for example, NMI (Non-Maskable Interrupt), Debug break (#DB), Machine Check (#MC), etc.). If the RSM attempts to return to a noncanonical address, the address pushed onto the stack for this #GP fault may not match the non-canonical address that caused the fault.  	  Operating systems may observe a #GP fault being serviced before higher priority interrupts and exceptions. Intel has not observed this erratum on any commercially available software.  	 None identified. 	  No Fix. 
  BTS (Branch Trace Store) and PEBS (Precise Event Based Sampling) May Update Memory Outside BTS/PEBS Buffer  	  If the BTS/PEBS buffer is defined such that: • The difference between the BTS/PEBS buffer base and the BTS/PEBS absolute maximum is not an integer multiple of the corresponding record sizes. • The BTS/PEBS absolute maximum is less than a record size from the end of the virtual address space. • The record that would cross the BTS/PEBS absolute maximum will also continue past the end of the virtual address space.  Intel® Atom™ Processor E6xx Series 24  May 2012 Document Number: 324209-012   A BTS/PEBS record can be written that will wrap at the 4G boundary (legacy mode) or 264 boundary (IA-32e mode, including both 64-bit mode and compatibility mode), and write memory outside of the BTS/PEBS buffer. 	  Software that uses BTS/PEBS near the 4G boundary (legacy mode) or 264 boundary (IA-32e mode, including both 64-bit mode and compatibility mode) and defines the buffer such that it does not hold an integer multiple of records can update memory outside the BTS/PEBS buffer.  	 Define the BTS/PEBS buffer such that the BTS/PEBS absolute maximum minus the BTS/PEBS buffer base is an integer multiple of the corresponding record sizes as recommended in the Intel® 64 and IA-32 Architectures Software Developer’s Manual Volume 3B. 	  No Fix. 
  Single Step Interrupts With Floating Point Exception Pending May Be Mishandled  	  In certain circumstances, when a floating point exception (#MF) is pending during single step execution, processing of the single step debug exception (#DB) may be mishandled.  	  When this erratum occurs, #DB will be incorrectly handled as follows: • #DB is signaled before the pending higher priority #MF (interrupt 16). • #DB is generated twice on the same instruction.  	 None identified. 	  No Fix. 
  Unsynchronized Cross-Modifying Code Operations Can Cause Unexpected Instruction Execution Results  	  The act of one processor, or system bus master, writing data into a currently executing code segment of a second processor with the intent of having the second processor execute that data as code is called cross-modifying code (XMC). XMC that does not force the second processor to execute a synchronizing instruction, prior to execution of the new code, is called unsynchronized XMC. Software using unsynchronized XMC to modify the instruction byte stream of a processor can see unexpected or unpredictable execution behavior from the processor that is executing the modified code.  	  In this case, the phrase “unexpected or unpredictable execution behavior” encompasses the generation of most of the exceptions listed in the Intel® 64 and IA-32 Architectures Software Developer’s Manual Volume 3A: System Programming Guide, including a General Protection Fault (#GP) or other unexpected behaviors.  	 In order to avoid this erratum, programmers should use the XMC synchronization algorithm as detailed in the Intel® 64 and IA-32 Architectures Software Developer’s Manual Volume 3A: System Programming Guide, section “Handling Self- and CrossModifying Code.” 	  No Fix. 
  LBR Stack May Not Be Frozen on PMI Request When FREEZE_LBRS_ON_PMI Set  	  When the FREEZE_LBRS_ON_PMI flag (IA32_DEBUGCTL MSR (1D9h) bit [11]) is set on an Intel® Atom™ Processor E6xx Series, a PMI (performance monitor interrupt) request should cause the LBR and TR flags (IA32_DEBUGCTL MSR (1D9h) bit [1:0]) to be cleared and the LBR (last branch record) stack to stop being updated by branches/interrupts/exceptions. Due to this erratum, the processor may clear the LBR  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 25   and TR flags but not stop the LBR stack from FREEZE_LBRS_ON_PMI is set and a PMI request occurs. 	  being  updated  when  Following a PMI request, the LBRs may continue to be updated by branches/interrupts/exceptions even when FREEZE_LBRS_ON_PMI is set. The LBRs may contain values recorded after the PMI request.  	 None identified. 	  No Fix. 
  PMI Request Not Generated on Counter Overflow if Its OVF Bit Already Set in IA32_PERF_GLOBAL_STATUS  	  If a performance counter overflows and software does not clear the corresponding OVF (overflow) bit in IA32_PERF_GLOBAL_STATUS MSR (38Eh), future overflows of that counter will not trigger PMI (Performance Monitoring Interrupt) requests.  	  If software does not clear the OVF bit corresponding to a performance counter, future counter overflows may not cause PMI requests.  	 Software should clear the IA32_PERF_GLOBAL_STATUS.OVF bit in the PMI handler. 	  No Fix. 
  Synchronous Reset of IA32_MPERF on IA32_APERF Overflow May Not Work  	  When either the IA32_MPERF or IA32_APERF MSR (E7h, E8h) increments to its maximum value of FFFF_FFFF_FFFF_FFFFh, both MSRs are supposed to synchronously reset to 0h on the next clock. Due to this erratum, IA32_MPERF may not be reset when IA32_APERF overflows. Instead, IA32_MPERF may continue to increment without being reset.  	  Due to this erratum, software cannot reply on the synchronous reset of the IA32_MPERF register. The typical usage of IA32_MPERF/IA32_APERF is to initialize them with a value of 0; in this case, the overflow of the counter would not happen for ten years.  	 None identified. 	  No Fix. 
  Processor May Not Recognize Signal PWROK on Its Initial Assertion  	  During any system power-on event in which power had been removed from the processor (including S3), the processor may fail to recognize the PWROK input signal during power-up. This missed observation is dependent upon the processor temperature and can cause the system not to boot.  	  The system may fail to boot. Each processor may be affected at different temperature ranges.  	 An external hardware workaround has been identified and may be implemented for this erratum. 	  Plan Fix. 
  Image on SDVO Display Clipped When Multiple Display Planes and SDVO Port Enabled  	  An internal timing generator and the SDVO (Serial Digital Video Output) timing generator may become out of synch with each other. This condition only manifests when any combination of multiple display planes and the SDVO port are concurrently enabled and can result in a clipped image.  	  A clipped image will be observed on the SDVO display.  Intel® Atom™ Processor E6xx Series 26  May 2012 Document Number: 324209-012   	 A software change has been identified and may be implemented as a workaround for this erratum. 	  Plan Fix. 
  Large Amounts of LPC Bus Memory Reads and Writes May Temporarily Starve Other I/O Devices  	  During heavy memory read and memory write traffic to the LPC (Low Pin Count) Bus, downstream transactions to I/O devices may be blocked for periods of 3.2 µs.  	  I/O devices may suffer a performance impact (for example, audio glitches).  	 None identified. 	  No Fix. 
  Delayed I/O Device Memory Transactions Can Cause System Hang  	  Back-to-back uncacheable write transactions issued by the processor to downstream I/O devices can cause indeterminate delays to completions of upstream memory transactions from I/O devices.  	  Long bursts of downstream transactions may cause system hangs and/or audio glitches. 	NA	NA
 identified. 	NA	NA	NA	  No Fix. 
  Software Can Inadvertently Change SDVO Base Class Code Register  	  Software that programs the unused SDVO (Serial Digital Video Out) base address register at offset 1Ch (Bus 0; Device 3; Function 0) inadvertently modifies the SDVO base class code register (Bus 0; Device 3; Function 0; Offset 9h) to an incorrect value.  	  Software that relies on the base class code could fail to function properly or will report the SDVO device incorrectly. 	NA	NA
 	NA	NA	NA	  Plan Fix. 
  Voltage Supplied to Internal RTC Logic Violates Design Specification  	  An internal voltage regulator for the RTC (Real Time Clock) logic produces an overvoltage condition and potential damage to the internal logic.  	  The processor is not guaranteed to meet a 10 year reliability lifetime. The system may fail to boot over a period of time or exhibit inaccurate RTC clock operation.  	 A workaround has been identified. Please refer to the Intel® Atom™ Processor E6xx Series Erratum: “Voltage Supplied to Internal RTC (Real Time Clock) Logic Violates Design Specification” FAQ, order number 324702, for further details 	  Plan Fix. 
  Flickering May be Observed on Display while Running Intensive Graphics and Video Decoding Activities  	  During intensive graphics and video playback activities, and with large numbers of display read requests, the display may experience flickering.  	  Flickering may be observed on displays connected to the integrated display engine. 	NA	NA
 	NA	NA	NA	  Plan Fix.  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 27  
  C6 Request May Cause a Machine Check if the Other Logical Processor is in C4 or C6  	  A machine check may be generated if a logical processor requests the C6 C-state and the other logical processor is in either the C4 or C6 C-states.  	  This erratum may result in unexpected machine-check exceptions. 	NA	NA
 	NA	NA	NA	  No Fix. 
  EOI Transaction May Not be Sent if Software Enters Core C6 During an Interrupt Service Routine  	  If core C6 is entered after the start of an interrupt service routine but before a write to the APIC EOI (End of Interrupt) register, and the core is woken up by an event other than a fixed interrupt source the core may drop the EOI transaction the next time APIC EOI register is written and further interrupts from the same or lower priority level will be blocked.  	  EOI transactions may be lost and interrupts may be blocked when core C6 is used during interrupt service routines.  	 Software should check the ISR register and if any interrupts are in service only enter C1. 	  No Fix. 
  PCNT Throttling May Cause System Hang During TM1 Thermal Event  	  The TM1 (Thermal Monitor 1) thermal event and PCNT (Processor Control) mechanism can each independently control processor throttling and should work at the same time without issues. Due to this erratum, if PCNT throttling is enabled during a TM1 thermal event, the two throttling mechanisms may conflict with each other and leading to a system hang.  	  When this erratum occurs, the system may hang. 	NA	NA
 this erratum. 	NA	NA	NA	  No fix. 
  VMX Transitions May Set Bits 63:32 of the IA32_FMASK MSR  	  Bits 63:32 of the IA32_FMASK MSR (C0000084H) are reserved and attempts to set them should fail. Due to this erratum, loads of this MSR as part of a VMX transition (from either the VM-exit MSR-load area or the VM-entry MSR-load area) may set any of these bits without causing the transition to fail.  	  Subsequent reads of the IA32_FMASK MSR (e.g. by RDMSR) will return a non-zero value for bits 63:32. Intel has not observed this erratum with any commercially available software.  	 Software should ensure that bits 63:32 are all 0 in any entry for the IA32_FMASK MSR in any VM-exit MSR-load area or VM-entry MSR-load area. 	  No Fix 
